"今回問","ページ","分野","テーマ","確度","最有力掲載ページ","最有力URL","最有力ページの出典欄","最有力ページの出題履歴","確認メモ","スコア","候補2","候補2URL","候補3","候補3URL"
"問1","P.4","基礎理論","浮動小数点の情報落ち","高","fe-siken.com 令和7年春期 問2 / 丸め誤差の説明はどれか","https://www.fe-siken.com/kakomon/07_haru/a2.html","","基本情報技術者 H13秋期 問7 基本情報技術者 H17秋期 問6 基本情報技術者 H19秋期 問4","","105","fe-siken.com 平成19年秋期 問4 / 丸め誤差","https://www.fe-siken.com/kakomon/19_aki/q4.html","fe-siken.com 平成17年秋期 問6 / 丸め誤差","https://www.fe-siken.com/kakomon/17_aki/q6.html"
"問2","P.4","基礎理論","正規分布の特徴","高","fe-siken.com 平成26年春期 問4 / 正規分布の説明として適切なもの","https://www.fe-siken.com/kakomon/26_haru/q4.html","","","","215","fe-siken.com 令和1年秋期 問5 / 正規分布のグラフ","https://www.fe-siken.com/kakomon/01_aki/q5.html","fe-siken.com 平成14年春期 問7 / 正規分布のグラフ","https://www.fe-siken.com/kakomon/14_haru/q7.html"
"問3","P.4","AI","ディープラーニングに関係が深いもの","高","fe-siken.com 令和6年度 午前免除試験 問3 / ディープラーニングに関連が深いもの","https://www.fe-siken.com/kakomon/06_menjo/q3.html","午前免除試験 令和6年7月 問3","応用情報技術者 R3秋期 問3","","145","ap-siken.com 令和3年秋期 問3 / ディープラーニングに関連が深いもの","https://www.ap-siken.com/kakomon/03_aki/q3.html","fe-siken.com 令和6年度 午前免除試験 問3 / 問3 解説へ AIにおけるディープラーニングに最も関連が深いものはどれか。 ある特定の分野に特化した知識を基にルールベースの推論を行うことによって，専門家と同じレベルの問題解決を行...","https://www.fe-siken.com/s/kakomon/06_menjo/q3.html"
"問4","P.5","基礎理論","連立一次方程式の計算時間","確定","fe-siken.com 平成23年秋期 問3 / 連立一次方程式の計算時間","https://www.fe-siken.com/kakomon/23_aki/q3.html","","基本情報技術者 H15秋期 問5 基本情報技術者 H17秋期 問7 基本情報技術者 H19秋期 問5 ソフトウェア開発技術者 H19秋期 問3","問題タイトルと計算条件が一致。出題履歴にFE H15秋 問5、H17秋 問7、H19秋 問5、SW H19秋 問3。","77","fe-siken.com 平成19年秋期 問5 / 連立一次方程式の計算時間","https://www.fe-siken.com/kakomon/19_aki/q5.html","fe-siken.com 平成17年秋期 問7 / 連立一次方程式の計算時間","https://www.fe-siken.com/kakomon/17_aki/q7.html"
"問5","P.5","アルゴリズム","スタックで出力できる順序","高","fe-siken.com 平成29年秋期 問5 / スタックで出力可能なデータ列","https://www.fe-siken.com/kakomon/29_aki/q5.html","","基本情報技術者 H16春期 問12 基本情報技術者 H22秋期 問5","","101","fe-siken.com 平成22年秋期 問5 / スタックで出力可能なデータ列","https://www.fe-siken.com/kakomon/22_aki/q5.html","fe-siken.com 平成16年春期 問12 / スタックで出力可能なデータ列","https://www.fe-siken.com/kakomon/16_haru/q12.html"
"問6","P.5","アルゴリズム","二分探索のおよその比較回数","高","fe-siken.com 平成21年春期 問7 / 2分探索法の比較回数","https://www.fe-siken.com/kakomon/21_haru/q7.html","","基本情報技術者 H18秋期 問14","","100","fe-siken.com 平成18年秋期 問14 / 2分探索法の比較回数","https://www.fe-siken.com/kakomon/18_aki/q14.html","fe-siken.com 平成26年秋期 問6 / 2分探索法","https://www.fe-siken.com/kakomon/26_aki/q6.html"
"問7","P.6","プログラミング","関数呼出し時の実引数と仮引数","高","fe-siken.com 平成20年秋期 問39 / 関数呼出し時の引数の性質","https://www.fe-siken.com/kakomon/20_aki/q39.html","","","","236","ap-siken.com 平成28年春期 問20 / 値呼出しと参照呼出し","https://www.ap-siken.com/kakomon/28_haru/q20.html","ap-siken.com 平成25年春期 問20 / 値呼出しと参照呼出し","https://www.ap-siken.com/kakomon/25_haru/q20.html"
"問8","P.6","コンピュータ","CPU性能のMIPS計算","高","fe-siken.com 平成30年秋期 問9 / CPUの性能は約何MIPSか","https://www.fe-siken.com/kakomon/30_aki/q9.html","","応用情報技術者 H22秋期 問9 基本情報技術者 H17秋期 問19 基本情報技術者 H29春期 問8","","169","fe-siken.com 平成29年春期 問8 / CPUの性能は約何MIPSか","https://www.fe-siken.com/kakomon/29_haru/q8.html","fe-siken.com 平成17年秋期 問19 / CPUの性能は約何MIPSか","https://www.fe-siken.com/kakomon/17_aki/q19.html"
"問9","P.6","コンピュータ","キャッシュミス時の動作","高","fe-siken.com 平成25年秋期 問10 / キャッシュメモリ制御","https://www.fe-siken.com/kakomon/25_aki/q10.html","","応用情報技術者 H23秋期 問11 ソフトウェア開発技術者 H20春期 問18","","170","ap-siken.com 平成23年秋期 問11 / メモリ制御","https://www.ap-siken.com/kakomon/23_aki/q11.html","ap-siken.com 平成20年春期 問18 / キャッシュメモリ制御","https://www.ap-siken.com/kakomon/20_haru/q18.html"
"問10","P.7","コンピュータ","画面表示に必要なビデオメモリ","高","ap-siken.com 平成20年春期 問21 / 画面表示に必要なメモリ量","https://www.ap-siken.com/kakomon/20_haru/q21.html","","基本情報技術者 H14春期 問29 基本情報技術者 H15秋期 問28","","109","fe-siken.com 令和3年度 午前免除試験 問14 / 画面表示に必要なメモリ量","https://www.fe-siken.com/kakomon/03_menjo/q14.html","fe-siken.com 平成15年秋期 問28 / 画面表示に必要なメモリ量","https://www.fe-siken.com/kakomon/15_aki/q28.html"
