"本試験","掲載ページ","分野","テーマ","正解","今回の要点","復習観点","関連キーワード"
"問1","P.4","基礎理論","浮動小数点の情報落ち","ウ","絶対値が大きく異なる数を加減算すると、指数をそろえる過程で小さい数の有効桁が結果に反映されないことがあります。これを情報落ちといいます。","数式・定義を先に固定し、選択肢は単位と条件の違いで切り分ける。","大きい数 / 指数をそろえる / 小さい数の桁が丸められる / 情報落ち"
"問2","P.4","基礎理論","正規分布の特徴","ウ","正規分布は平均を中心に左右対称な釣鐘形の連続確率分布です。自然現象や測定誤差など、多くのばらつきのモデルとして使われます。","数式・定義を先に固定し、選択肢は単位と条件の違いで切り分ける。","平均 / 左右対称 / 釣鐘形 / 連続確率分布"
"問3","P.4","AI","ディープラーニングに関係が深いもの","ウ","ディープラーニングはニューラルネットワークを多層に重ね、重みなどのパラメータを学習して入力に対する適切な出力を得る方法です。","学習対象・モデル構造・代表用途を対応させて覚える。","入力層 / 隠れ層を多段化 / 重みを学習 / 出力"
"問4","P.5","基礎理論","連立一次方程式の計算時間","ウ","計算時間が未知数の個数の3乗に比例します。100元から1000元へは未知数が10倍なので計算量は1000倍、さらにコンピュータ速度が4倍なら時間は4分の1です。","数式・定義を先に固定し、選択肢は単位と条件の違いで切り分ける。","未知数10倍 / 計算量1000倍 / 速度4倍 / 2×1000÷4=500"
"問5","P.5","アルゴリズム","スタックで出力できる順序","ウ","A, B, C, Dの順に到着するデータを一つのスタックだけで扱う場合、pushとpopの順を調整します。C, B, D, Aは、A,B,Cを積んでC,Bを出し、Dを積んでD,Aを出せるので可能です。","データ構造の制約や探索範囲の減り方を、手順で追う。","push A,B,C / pop C,B / push D / pop D,A"
"問6","P.5","アルゴリズム","二分探索のおよその比較回数","ア","昇順に整列済みのn個のデータを二分探索すると、1回の比較で探索範囲をほぼ半分にできます。範囲を半分にし続けて1個になるまでの回数はおよそlog2 nです。","データ構造の制約や探索範囲の減り方を、手順で追う。","n個 / 半分 / さらに半分 / log2 n回"
"問7","P.6","プログラミング","関数呼出し時の実引数と仮引数","イ","関数呼出しでは、呼出し側の実引数の情報を、呼び出される関数の仮引数へ渡します。代表的な渡し方に値呼出しと参照呼出しがあります。","用語の主語と処理の向き、実行時の振る舞いを区別する。","実引数 / 値または参照を渡す / 仮引数"
"問8","P.6","コンピュータ","CPU性能のMIPS計算","エ","平均CPIを出現率で重み付けします。4×0.3+8×0.6+10×0.1=7クロック/命令です。700MHzなら1秒に700百万クロックなので、700/7=100MIPSです。","ビット、バイト、クロック、ページなどの単位変換を最後まで追う。","平均CPI=7 / 700MHz / 700÷7 / 100MIPS"
"問9","P.6","コンピュータ","キャッシュミス時の動作","ウ","プロセッサが読み込むデータがキャッシュに無い場合、キャッシュ制御装置は主記憶から該当ブロックをキャッシュへ読み込みます。","ビット、バイト、クロック、ページなどの単位変換を最後まで追う。","CPU / キャッシュミス / 主記憶からブロック読込み / キャッシュへ格納"
"問10","P.7","コンピュータ","画面表示に必要なビデオメモリ","イ","1画素24ビット、横1024画素、縦768画素なので、必要ビット数は1024×768×24です。8で割ると約2.36Mバイトで、選択肢では2.4Mバイトです。","ビット、バイト、クロック、ページなどの単位変換を最後まで追う。","1024×768画素 / ×24ビット / ÷8 / 約2.4MB"
